order_id,cancelled
130231,0
130232,0
130233,0
130234,1
130235,0
130237,1
130236,1
130238,0
130239,0
130240,1
130241,1
130242,0
130243,1
130244,0
130245,1
130246,0
130247,1
130248,1
130249,1
130250,1
130251,1
130252,0
130253,1
130254,0
130255,1
130256,0
130257,1
130258,1
130260,0
130259,0
130261,0
130262,1
130263,1
130264,0
130265,1
130266,0
130267,0
130268,0
130269,1
130270,0
130271,0
130272,0
130273,1
130274,1
130275,1
130276,1
130277,0
130278,1
130279,0
130280,0
130281,0
130282,0
130283,0
130284,0
130285,0
130286,0
130287,0
130288,1
130289,1
130290,1
130291,0
130292,0
130293,0
130294,0
130295,0
130296,0
130297,0
130298,1
130299,1
130300,1
130301,0
130302,1
130303,1
130304,1
130305,0
130306,1
130307,0
130308,0
130309,1
130310,0
130311,0
130312,1
130313,0
130314,0
130315,0
130316,0
130317,0
130318,0
130319,0
130320,0
130321,0
130322,0
130323,0
130324,1
130325,1
130326,0
130327,0
130328,0
130329,0
130330,0
130331,0
130332,0
130333,1
130334,1
130335,1
130336,0
130337,0
130338,0
130339,1
130340,0
130341,0
130342,1
130343,0
130344,1
130345,1
130346,1
130347,0
130348,0
130349,0
130350,0
130351,1
130352,1
130353,0
130354,0
130355,0
130356,0
130357,0
130358,0
130359,0
130360,1
130361,1
130362,0
130363,0
130367,1
130366,0
130364,1
130365,1
130368,0
130369,1
130370,0
130371,0
130372,1
130373,0
130374,1
130375,1
130376,0
130377,0
130378,1
130379,0
130380,1
130381,1
130382,1
130383,1
130384,1
130385,0
130386,0
130387,1
130388,0
130389,0
130390,0
130391,1
130392,0
130393,1
130394,1
130395,1
130397,0
130396,1
130398,0
130399,0
130400,0
130401,0
130402,1
130403,0
130404,0
130405,0
130406,1
130407,1
130408,1
130409,0
130410,0
130411,0
130412,0
130413,0
130414,1
130415,1
130416,0
130417,0
130418,0
130419,1
130420,1
130421,0
130422,0
130423,1
130424,1
130425,0
130426,0
130427,1
130428,0
130429,1
130430,1
130431,1
130432,1
130433,0
130434,0
130435,0
130436,1
130437,0
130438,0
130439,0
130440,0
130441,1
130442,0
130443,0
130444,1
130445,1
130446,0
130447,1
130448,0
130449,0
130451,1
130450,0
130452,1
130453,1
130454,1
130455,1
130456,0
130457,0
130458,0
130459,1
130460,0
130461,1
130462,0
130463,1
130464,0
130465,1
130466,0
130467,1
130468,0
130469,0
130470,0
130472,0
130471,0
130473,0
130474,0
130475,0
130476,1
130477,1
130478,0
130479,1
130480,0
130482,1
130481,1
130483,0
130484,1
130485,0
130486,0
130487,0
130488,0
130489,0
130490,0
130491,1
130492,1
130493,0
130494,1
130495,0
130496,0
130497,0
130498,0
130499,0
130500,1
130501,0
130502,0
130504,0
130503,0
130505,0
130506,1
130507,0
130508,1
130509,0
130510,1
130511,1
130512,0
130513,0
130514,0
130515,0
130516,0
130517,0
130518,0
130519,0
130520,0
130521,1
130522,1
130523,1
130524,0
130525,0
130526,0
130528,0
130527,0
130529,1
130530,0
130531,1
130532,0
130533,1
130534,0
130535,0
130536,0
130537,1
130538,0
130539,1
130540,1
130541,1
130542,0
130543,1
130544,0
130545,0
130546,0
130547,1
130548,0
130549,1
130550,0
130551,0
130552,1
130553,0
130554,0
130555,1
130556,0
130557,0
130558,0
130559,1
130560,0
130561,0
130562,0
130563,1
130564,1
130565,1
130566,0
130567,1
130568,0
130569,0
130570,1
130571,1
130572,0
130573,1
130574,0
130576,0
130575,0
130577,0
130578,1
130579,1
130580,1
130581,0
130582,0
130583,0
130584,1
130585,0
130586,0
130587,0
130588,1
130589,0
130590,1
130591,0
130592,0
130593,0
130594,1
130595,0
130596,0
130597,1
130598,0
130599,0
130600,0
130601,0
130602,0
130603,0
130604,0
130605,1
130606,1
130607,1
130608,0
130609,0
130610,0
130611,1
130612,0
130613,0
130614,0
130615,0
130616,1
130617,0
130618,0
130619,0
130620,0
130621,0
130622,0
130623,0
130624,0
130625,0
130626,1
130627,1
130628,1
130629,0
130630,1
130631,1
130632,1
130633,0
130634,0
130635,0
130636,0
130637,1
130638,0
130639,0
130640,1
130641,0
130642,0
130643,0
130644,0
130645,1
130646,0
130647,0
130648,1
130652,0
130651,1
130649,1
130650,1
130653,0
130654,1
130655,0
130656,1
130657,0
130658,0
130659,0
130660,1
130661,1
130662,0
130663,0
130664,1
130665,1
130666,0
130667,1
130668,0
130669,1
130670,1
130671,1
130672,1
130673,1
130675,1
130674,0
130676,1
130677,1
130678,1
130679,1
130680,0
130681,1
130682,1
130683,1
130684,0
130685,0
130688,0
130687,0
130686,1
130689,1
130690,0
130691,0
130692,1
130693,0
130694,1
130695,0
130696,0
130697,0
130698,0
130699,0
130700,1
130701,0
130702,0
130703,1
130704,0
130705,0
130706,1
130707,0
130708,1
130709,1
130710,0
130711,0
130712,1
130713,0
130714,0
130715,0
130716,0
130717,0
130718,1
130719,0
130720,1
130721,0
130722,0
130723,0
130724,0
130725,0
130726,0
130727,1
130728,1
130729,0
130730,1
130731,1
130732,0
130733,1
130734,0
130735,0
130737,1
130736,1
130738,1
130739,0
130740,0
130741,1
130742,0
130743,1
130744,0
130745,0
130746,1
130747,1
130748,1
130749,0
130750,1
130751,0
130752,0
130753,0
130754,1
130755,0
130756,0
130757,0
130758,1
130759,1
130760,0
130761,1
130762,0
130763,0
130764,0
130765,0
130766,0
130767,0
130768,1
130769,0
130770,0
130771,1
130773,0
130772,0
130774,0
130775,0
130776,1
130777,1
130778,0
130779,1
130780,1
130781,0
130782,0
130783,1
130785,0
130784,0
130786,0
130787,0
130788,0
130789,1
130790,0
130791,0
130792,0
130793,0
130794,0
130795,0
130797,0
130796,0
130798,0
130799,0
130800,0
130801,1
130802,0
130803,0
130804,0
130805,1
130806,1
130807,1
130808,1
